"filename", "language", "JSON with Comments", "TypeScript", "JSON", "comment", "blank", "total"
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\tab-factory\types.ts", "TypeScript", 0, 25, 0, 2, 5, 32
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\tab-store\index.ts", "TypeScript", 0, 2, 0, 0, 1, 3
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\tab-store\setup.ts", "TypeScript", 0, 15, 0, 0, 4, 19
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\tab-store\store.ts", "TypeScript", 0, 9, 0, 0, 3, 12
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\template-builder\__tests_\IOBuilder.test.ts", "TypeScript", 0, 41, 0, 0, 13, 54
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\template-builder\__tests_\InnerItemsBuilder.test.ts", "TypeScript", 0, 46, 0, 0, 13, 59
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\template-builder\__tests_\TemplateBuilder.test.ts", "TypeScript", 0, 33, 0, 0, 7, 40
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\template-builder\builders\IOBuilder.ts", "TypeScript", 0, 110, 0, 0, 15, 125
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\template-builder\builders\InnerItemsBuilder.ts", "TypeScript", 0, 63, 0, 0, 13, 76
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\template-builder\builders\StructureBuilder.ts", "TypeScript", 0, 28, 0, 1, 9, 38
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\template-builder\builders\TemplateBuilder.ts", "TypeScript", 0, 21, 0, 0, 6, 27
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\template-builder\builders\index.ts", "TypeScript", 0, 1, 0, 0, 1, 2
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\template-builder\index.ts", "TypeScript", 0, 2, 0, 0, 1, 3
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\template-builder\setup.ts", "TypeScript", 0, 25, 0, 0, 4, 29
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\template-builder\types\StructureBuilder.ts", "TypeScript", 0, 11, 0, 0, 3, 14
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\template-builder\types\TemplateBuilder.ts", "TypeScript", 0, 15, 0, 0, 4, 19
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\template-builder\types\index.ts", "TypeScript", 0, 2, 0, 0, 1, 3
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\use-cases\guards\index.ts", "TypeScript", 0, 1, 0, 0, 1, 2
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\use-cases\guards\item.ts", "TypeScript", 0, 27, 0, 0, 4, 31
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\use-cases\index.ts", "TypeScript", 0, 6, 0, 0, 1, 7
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\use-cases\internal\create-single-item.ts", "TypeScript", 0, 39, 0, 5, 14, 58
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\use-cases\internal\index.ts", "TypeScript", 0, 5, 0, 0, 1, 6
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\use-cases\internal\link-single-item.ts", "TypeScript", 0, 43, 0, 4, 16, 63
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\use-cases\internal\remove-scope-deep.ts", "TypeScript", 0, 55, 0, 0, 17, 72
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\use-cases\internal\remove-single-item.ts", "TypeScript", 0, 54, 0, 2, 15, 71
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\use-cases\internal\unlink-single-item.ts", "TypeScript", 0, 54, 0, 3, 15, 72
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\use-cases\operations\factories.ts", "TypeScript", 0, 56, 0, 0, 8, 64
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\use-cases\operations\index.ts", "TypeScript", 0, 5, 0, 1, 1, 7
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\use-cases\operations\item-options.ts", "TypeScript", 0, 0, 0, 15, 2, 17
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\use-cases\operations\makeInsert.ts", "TypeScript", 0, 24, 0, 0, 2, 26
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\use-cases\operations\makeRead.ts", "TypeScript", 0, 19, 0, 0, 2, 21
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\use-cases\operations\makeRemove.ts", "TypeScript", 0, 30, 0, 0, 2, 32
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\use-cases\operations\scope-registry.ts", "TypeScript", 0, 61, 0, 0, 4, 65
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\use-cases\public\CreateItems.ts", "TypeScript", 0, 23, 0, 0, 6, 29
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\use-cases\public\CreateTab.ts", "TypeScript", 0, 22, 0, 0, 10, 32
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\use-cases\public\GetSimulationStatus.ts", "TypeScript", 0, 27, 0, 0, 7, 34
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\use-cases\public\LinkItems.ts", "TypeScript", 0, 25, 0, 0, 6, 31
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\use-cases\public\RemoveItems.ts", "TypeScript", 0, 25, 0, 0, 7, 32
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\use-cases\public\RemoveTab.ts", "TypeScript", 0, 17, 0, 0, 6, 23
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\use-cases\public\SimulateTab.ts", "TypeScript", 0, 32, 0, 0, 7, 39
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\use-cases\public\UnlinkItems.ts", "TypeScript", 0, 25, 0, 0, 6, 31
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\use-cases\public\UpdateItemInput.ts", "TypeScript", 0, 27, 0, 0, 7, 34
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\use-cases\public\UpdateItemOutput.ts", "TypeScript", 0, 27, 0, 0, 7, 34
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\use-cases\public\index.ts", "TypeScript", 0, 10, 0, 0, 1, 11
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\use-cases\tools\FlowTool\FlowTool.ts", "TypeScript", 0, 58, 0, 0, 13, 71
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\use-cases\tools\FlowTool\index.ts", "TypeScript", 0, 2, 0, 0, 1, 3
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\use-cases\tools\FlowTool\types.ts", "TypeScript", 0, 22, 0, 0, 6, 28
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\use-cases\tools\index.ts", "TypeScript", 0, 1, 0, 0, 1, 2
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\src\use-cases\types.ts", "TypeScript", 0, 10, 0, 0, 3, 13
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\tsconfig.build.json", "JSON", 0, 0, 16, 0, 1, 17
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\tsconfig.json", "JSON with Comments", 17, 0, 0, 0, 1, 18
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\engine\vitest.config.ts", "TypeScript", 0, 10, 0, 0, 2, 12
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\entities-runtime\package.json", "JSON", 0, 0, 67, 0, 1, 68
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\entities-runtime\src\CallbackManager\CalbackManager.ts", "TypeScript", 0, 14, 0, 0, 4, 18
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\entities-runtime\src\CallbackManager\index.ts", "TypeScript", 0, 2, 0, 0, 1, 3
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\entities-runtime\src\CallbackManager\types.ts", "TypeScript", 0, 5, 0, 0, 3, 8
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\entities-runtime\src\async-cache\index.ts", "TypeScript", 0, 3, 0, 0, 1, 4
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\entities-runtime\src\async-cache\map.cache.ts", "TypeScript", 0, 24, 0, 0, 6, 30
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\entities-runtime\src\async-cache\types.ts", "TypeScript", 0, 12, 0, 0, 2, 14
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\entities-runtime\src\async-cache\value.cache.ts", "TypeScript", 0, 17, 0, 0, 5, 22
"c:\Users\User\Documents\GitHub\cinabono-engine\packages\entities-runtime\src\dispose\dispose.ts", "TypeScript", 0, 27, 0, 0, 6, 33
