Date : 2026-03-01 21:09:08
Directory : c:\Users\User\Documents\GitHub\cinabono-engine\apps\web
Total : 220 files,  7049 codes, 40 comments, 1349 blanks, all 8438 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\widgets\Workspace\lib\node-interactions (Files)                                                                                                     |          4 |         60 |          0 |         19 |         79 |
| src\widgets\Workspace\lib\node-interactions\handlers                                                                                                    |          1 |         53 |          0 |         12 |         65 |
| src\widgets\Workspace\ui                                                                                                                                |          4 |        232 |          0 |         16 |        248 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                                | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\AGENTS.md                                                                                       | Markdown           |         66 |          0 |         34 |        100 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\index.html                                                                                      | HTML               |         41 |          0 |          1 |         42 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\package.json                                                                                    | JSON               |         49 |          0 |          1 |         50 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\playground.html                                                                                 | HTML               |         11 |          0 |          1 |         12 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\TODO.md                                                                                     | Markdown           |         10 |          0 |          7 |         17 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\app\App.tsx                                                                                 | TypeScript JSX     |         16 |          0 |          3 |         19 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\app\providers\AppProvider.tsx                                                               | TypeScript JSX     |         31 |          0 |          9 |         40 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\features\nodes\useAddBaseLogic.ts                                                           | TypeScript         |         24 |          0 |          5 |         29 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\features\tabs\useCloseTab.ts                                                                | TypeScript         |          9 |          0 |          3 |         12 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\features\tabs\useOpenTab.ts                                                                 | TypeScript         |          7 |          0 |          4 |         11 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\features\tabs\useUpdateTabTitle.ts                                                          | TypeScript         |          5 |          4 |          4 |         13 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\index.css                                                                                   | PostCSS            |        157 |          0 |         22 |        179 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\index.tsx                                                                                   | TypeScript JSX     |         13 |          0 |          4 |         17 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\assets\IconComponents\ArrowIcon.tsx                                                  | TypeScript JSX     |         27 |          2 |          6 |         35 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\assets\IconComponents\CrossIcon.tsx                                                  | TypeScript JSX     |         19 |          0 |          4 |         23 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\assets\IconComponents\LogoIcon.tsx                                                   | TypeScript JSX     |         20 |          0 |          4 |         24 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\assets\IconComponents\PlusIcon.tsx                                                   | TypeScript JSX     |         17 |          0 |          3 |         20 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\assets\IconComponents\index.ts                                                       | TypeScript         |          4 |          0 |          1 |          5 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\assets\workspace_tile.svg                                                            | XML                |          4 |          0 |          1 |          5 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\config\config.ts                                                                     | TypeScript         |          4 |          0 |          2 |          6 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\config\index.ts                                                                      | TypeScript         |          1 |          0 |          1 |          2 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\enum.ts                                                                              | TypeScript         |          6 |          0 |          1 |          7 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\hooks\usePreventEvent.ts                                                             | TypeScript         |         11 |          0 |          3 |         14 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\hooks\useViewport\bindPointerDrag.ts                                                 | TypeScript         |         49 |          0 |         17 |         66 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\hooks\useViewport\bindWheelZoom.ts                                                   | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\hooks\useViewport\index.ts                                                           | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\hooks\useViewport\useDraggable.ts                                                    | TypeScript         |         84 |          0 |         19 |        103 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\hooks\useViewport\useViewport.ts                                                     | TypeScript         |         90 |          0 |         14 |        104 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\hooks\useViewport\useViewportBinding.ts                                              | TypeScript         |         25 |          0 |          4 |         29 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\hooks\useViewport\useZoomable.ts                                                     | TypeScript         |         44 |          0 |          9 |         53 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\LogicEngine\EngineProvider.tsx                                        | TypeScript JSX     |         19 |          0 |          5 |         24 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\LogicEngine\applyEngineEvents.ts                                      | TypeScript         |         80 |          0 |         16 |         96 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\LogicEngine\client.ts                                                 | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\LogicEngine\index.ts                                                  | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\LogicEngine\worker.ts                                                 | TypeScript         |          9 |          0 |          3 |         12 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\index.ts                                                              | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\graph-runtime\createGraphRuntime.ts              | TypeScript         |         46 |          0 |          5 |         51 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\graph-runtime\index.ts                           | TypeScript         |          1 |          0 |          1 |          2 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\workspace-session\constants.ts                   | TypeScript         |          4 |          0 |          1 |          5 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\workspace-session\createWorkspaceSession.test.ts | TypeScript         |        165 |          0 |         12 |        177 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\workspace-session\createWorkspaceSession.ts      | TypeScript         |        150 |          0 |         37 |        187 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\workspace-session\index.ts                       | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\workspace-session\types.ts                       | TypeScript         |         20 |          0 |          4 |         24 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\workspace-state\createWorkspaceState.test.ts     | TypeScript         |         43 |          0 |         11 |         54 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\workspace-state\createWorkspaceState.ts          | TypeScript         |        157 |          0 |         33 |        190 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\workspace-state\index.ts                         | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\workspace-state\types.ts                         | TypeScript         |         26 |          0 |          2 |         28 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\graph-options\connecting\createConnectingConfig.ts          | TypeScript         |         62 |          0 |          9 |         71 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\graph-options\connecting\index.ts                           | TypeScript         |          1 |          0 |          1 |          2 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\graph-options\graphOptions.ts                               | TypeScript         |         41 |          0 |          4 |         45 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\graph-options\index.ts                                      | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\index.ts                                                    | TypeScript         |          1 |          0 |          1 |          2 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\connecting\edgeLink.ts                                  | TypeScript         |         70 |          0 |         15 |         85 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\connecting\hasIncomingOnPort.ts                         | TypeScript         |         14 |          0 |          2 |         16 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\connecting\index.ts                                     | TypeScript         |         11 |          0 |          1 |         12 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\connecting\isValidEdgeEndpoints.ts                      | TypeScript         |         17 |          0 |          4 |         21 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\connecting\mkEdge.ts                                    | TypeScript         |         13 |          0 |          2 |         15 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\connecting\normalizeConnection.ts                       | TypeScript         |         48 |         10 |          7 |         65 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\connecting\resolveRouterName.ts                         | TypeScript         |         10 |          0 |          2 |         12 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\index.ts                                                | TypeScript         |          3 |          0 |          1 |          4 |
