Date : 2026-03-01 21:09:08
Directory : c:\Users\User\Documents\GitHub\cinabono-engine\apps\web
Total : 148 files,  2954 codes, -265 comments, 458 blanks, all 3147 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\package.json                                                                                    | JSON               |          5 |          0 |          0 |          5 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\app\providers\AppProvider.tsx                                                               | TypeScript JSX     |          1 |          0 |          2 |          3 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\entities\model\Scope\CircuitService\createCircuitService.ts                                 | TypeScript         |        -17 |          0 |         -7 |        -24 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\entities\model\Scope\CircuitService\index.ts                                                | TypeScript         |         -2 |          0 |         -1 |         -3 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\entities\model\Scope\CircuitService\types.ts                                                | TypeScript         |         -6 |          0 |         -3 |         -9 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\entities\model\Scope\ScopeManager.ts                                                        | TypeScript         |       -106 |       -182 |        -70 |       -358 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\entities\model\Scope\ScopeProvider.tsx                                                      | TypeScript JSX     |        -42 |          0 |         -9 |        -51 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\entities\model\Scope\TabService\createTabService.ts                                         | TypeScript         |        -42 |          0 |        -17 |        -59 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\entities\model\Scope\TabService\index.ts                                                    | TypeScript         |         -2 |          0 |         -1 |         -3 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\entities\model\Scope\TabService\types.ts                                                    | TypeScript         |         -3 |          0 |         -3 |         -6 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\entities\model\Scope\guards.ts                                                              | TypeScript         |         -9 |          0 |         -3 |        -12 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\entities\model\Scope\types.ts                                                               | TypeScript         |        -29 |          0 |         -8 |        -37 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\entities\model\Scope\utils.ts                                                               | TypeScript         |         -7 |          0 |         -4 |        -11 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\features\nodes\useAddBaseLogic.ts                                                           | TypeScript         |         -9 |          0 |         -3 |        -12 |
