Date : 2026-02-12 15:14:43
Directory : c:\Users\User\Documents\GitHub\cinabono-engine\apps
Total : 591 files,  -4156 codes, -201 comments, -1047 blanks, all -5404 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |         35 |      1,237 |          6 |        225 |      1,468 |
| PostCSS            |          1 |        157 |          0 |         22 |        179 |
| SCSS               |          1 |        120 |          0 |         28 |        148 |
| HTML               |          2 |         52 |          0 |          2 |         54 |
| Markdown           |          1 |         10 |          0 |          7 |         17 |
| XML                |          1 |          4 |          0 |          1 |          5 |
| JSON with Comments |         12 |       -131 |          0 |        -10 |       -141 |
| JSON               |         18 |       -566 |          0 |        -16 |       -582 |
| TypeScript         |        520 |     -5,039 |       -207 |     -1,306 |     -6,552 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| ..\packages\entities-runtime (Files)                                                                                                           |          2 |        -81 |          0 |         -2 |        -83 |
| ..\packages\entities-runtime\src                                                                                                               |         48 |       -746 |        -43 |       -188 |       -977 |
| ..\packages\entities-runtime\src (Files)                                                                                                       |          1 |        -10 |          0 |         -1 |        -11 |
| ..\packages\entities-runtime\src\CallbackManager                                                                                               |          3 |        -21 |          0 |         -8 |        -29 |
| ..\packages\entities-runtime\src\async-cache                                                                                                   |          4 |        -56 |          0 |        -14 |        -70 |
| ..\packages\entities-runtime\src\dispose                                                                                                       |          3 |        -33 |          0 |         -9 |        -42 |
| ..\packages\entities-runtime\src\eventBus                                                                                                      |          8 |       -238 |        -43 |        -46 |       -327 |
| ..\packages\entities-runtime\src\eventBus (Files)                                                                                              |          3 |        -99 |         -2 |        -17 |       -118 |
| ..\packages\entities-runtime\src\eventBus\types                                                                                                |          3 |       -100 |        -40 |        -17 |       -157 |
| ..\packages\entities-runtime\src\eventBus\utils                                                                                                |          2 |        -39 |         -1 |        -12 |        -52 |
| ..\packages\entities-runtime\src\merger                                                                                                        |          3 |        -29 |          0 |        -13 |        -42 |
| ..\packages\entities-runtime\src\min-heap                                                                                                      |          2 |        -52 |          0 |        -17 |        -69 |
| ..\packages\entities-runtime\src\safe-runner                                                                                                   |          3 |        -38 |          0 |        -15 |        -53 |
| ..\packages\entities-runtime\src\saga                                                                                                          |          5 |        -81 |          0 |        -16 |        -97 |
| ..\packages\entities-runtime\src\service                                                                                                       |          4 |        -56 |          0 |        -15 |        -71 |
| ..\packages\entities-runtime\src\store                                                                                                         |         12 |       -132 |          0 |        -34 |       -166 |
| ..\packages\entities-runtime\src\store (Files)                                                                                                 |          1 |         -3 |          0 |         -1 |         -4 |
| ..\packages\entities-runtime\src\store\contracts                                                                                               |          4 |        -48 |          0 |        -17 |        -65 |
| ..\packages\entities-runtime\src\store\helpers                                                                                                 |          3 |        -34 |          0 |         -6 |        -40 |
| ..\packages\entities-runtime\src\store\inMemory                                                                                                |          4 |        -47 |          0 |        -10 |        -57 |
| ..\packages\error                                                                                                                              |          4 |        -56 |          0 |         -5 |        -61 |
| ..\packages\error (Files)                                                                                                                      |          2 |        -40 |          0 |         -2 |        -42 |
| ..\packages\error\src                                                                                                                          |          2 |        -16 |          0 |         -3 |        -19 |
| ..\packages\helpers                                                                                                                            |         24 |       -542 |        -55 |       -107 |       -704 |
| ..\packages\helpers (Files)                                                                                                                    |          3 |        -83 |          0 |         -4 |        -87 |
| ..\packages\helpers\src                                                                                                                        |         21 |       -459 |        -55 |       -103 |       -617 |
| ..\packages\helpers\src (Files)                                                                                                                |          1 |         -5 |          0 |         -1 |         -6 |
| ..\packages\helpers\src\id                                                                                                                     |          2 |        -18 |          0 |         -5 |        -23 |
| ..\packages\helpers\src\item                                                                                                                   |          7 |       -221 |        -51 |        -51 |       -323 |
| ..\packages\helpers\src\ops                                                                                                                    |          3 |        -49 |          0 |        -10 |        -59 |
| ..\packages\helpers\src\path                                                                                                                   |          2 |        -12 |          0 |         -5 |        -17 |
| ..\packages\helpers\src\scope                                                                                                                  |          6 |       -154 |         -4 |        -31 |       -189 |
| ..\packages\helpers\src\scope (Files)                                                                                                          |          4 |        -52 |          0 |         -8 |        -60 |
| ..\packages\helpers\src\scope\scopeLinks                                                                                                       |          2 |       -102 |         -4 |        -23 |       -129 |
| ..\packages\modules-runtime                                                                                                                    |         60 |       -782 |       -262 |       -217 |     -1,261 |
| ..\packages\modules-runtime (Files)                                                                                                            |          4 |       -103 |          0 |         -5 |       -108 |
| ..\packages\modules-runtime\src                                                                                                                |         56 |       -679 |       -262 |       -212 |     -1,153 |
| ..\packages\modules-runtime\src (Files)                                                                                                        |          1 |         -6 |         -1 |         -1 |         -8 |
| ..\packages\modules-runtime\src\compute-item-service                                                                                           |         15 |       -226 |          0 |        -60 |       -286 |
| ..\packages\modules-runtime\src\compute-item-service (Files)                                                                                   |          2 |        -26 |          0 |         -7 |        -33 |
| ..\packages\modules-runtime\src\compute-item-service\core                                                                                      |          8 |       -146 |          0 |        -36 |       -182 |
| ..\packages\modules-runtime\src\compute-item-service\core (Files)                                                                              |          4 |        -69 |          0 |        -19 |        -88 |
| ..\packages\modules-runtime\src\compute-item-service\core\registries                                                                           |          4 |        -77 |          0 |        -17 |        -94 |
| ..\packages\modules-runtime\src\compute-item-service\model                                                                                     |          5 |        -54 |          0 |        -17 |        -71 |
| ..\packages\modules-runtime\src\factories                                                                                                      |          9 |       -244 |         -1 |        -50 |       -295 |
| ..\packages\modules-runtime\src\factories (Files)                                                                                              |          1 |         -2 |          0 |         -1 |         -3 |
| ..\packages\modules-runtime\src\factories\item                                                                                                 |          5 |       -210 |         -1 |        -41 |       -252 |
| ..\packages\modules-runtime\src\factories\item (Files)                                                                                         |          4 |       -125 |         -1 |        -23 |       -149 |
| ..\packages\modules-runtime\src\factories\item\__tests__                                                                                       |          1 |        -85 |          0 |        -18 |       -103 |
| ..\packages\modules-runtime\src\factories\scope                                                                                                |          3 |        -32 |          0 |         -8 |        -40 |
| ..\packages\modules-runtime\src\item-options-store                                                                                             |         11 |          0 |       -212 |        -41 |       -253 |
| ..\packages\modules-runtime\src\item-options-store (Files)                                                                                     |          2 |          0 |        -20 |         -4 |        -24 |
| ..\packages\modules-runtime\src\item-options-store\core                                                                                        |          6 |          0 |       -131 |        -22 |       -153 |
| ..\packages\modules-runtime\src\item-options-store\core (Files)                                                                                |          3 |          0 |        -68 |        -14 |        -82 |
| ..\packages\modules-runtime\src\item-options-store\core\registries                                                                             |          3 |          0 |        -63 |         -8 |        -71 |
| ..\packages\modules-runtime\src\item-options-store\model                                                                                       |          3 |          0 |        -61 |        -15 |        -76 |
| ..\packages\modules-runtime\src\item-store                                                                                                     |          3 |        -25 |          0 |         -7 |        -32 |
| ..\packages\modules-runtime\src\library                                                                                                        |         11 |       -132 |        -48 |        -35 |       -215 |
| ..\packages\modules-runtime\src\library (Files)                                                                                                |          3 |        -25 |          0 |         -8 |        -33 |
| ..\packages\modules-runtime\src\library\cache                                                                                                  |          2 |          0 |        -48 |        -11 |        -59 |
| ..\packages\modules-runtime\src\library\core                                                                                                   |          6 |       -107 |          0 |        -16 |       -123 |
| ..\packages\modules-runtime\src\library\core (Files)                                                                                           |          1 |         -1 |          0 |         -1 |         -2 |
| ..\packages\modules-runtime\src\library\core\in-memory-library                                                                                 |          5 |       -106 |          0 |        -15 |       -121 |
| ..\packages\modules-runtime\src\link-store                                                                                                     |          3 |        -24 |          0 |         -9 |        -33 |
